LocalAuthority,Code,Year,Indicator,Numerator,Denominator
Scotland,SW02,2021-22,0.084,329238,3920394
Scotland,SW03a,2010-11,0.589393084,,
Scotland,SW03a,2011-12,0.591771475,,
Scotland,SW03a,2012-13,0.597931349,,
Scotland,SW03a,2013-14,0.597709628,,
Scotland,SW03a,2014-15,0.599917216,,
Scotland,SW03a,2015-16,0.606979596,,
Scotland,SW03a,2016-17,0.601206663,,
Scotland,SW03a,2017-18,0.617479785,,
Scotland,SW03a,2018-19,0.610163094,,
Scotland,SW03a,2019-20,0.606765932,,
Scotland,SW03a,2020-21,0.617124173,,
Scotland,SW03a,2021-22,0.6188,,
Scotland,SW03a,2022-23,0.615180304,,
Scotland,SW04b,2013-14,0.85,,
Scotland,SW04b,2015-16,0.84,,
Scotland,SW04b,2017-18,0.7997,,
Scotland,SW04b,2019-20,0.800251,,
Scotland,SW04b,2021-22,0.7812,,
Scotland,SW04c,2013-14,0.8281,,
Scotland,SW04c,2015-16,0.8271,,
Scotland,SW04c,2017-18,0.8113,,
Scotland,SW04c,2019-20,0.807797,,
Scotland,SW04c,2021-22,0.7882,,
Scotland,SW04d,2013-14,0.8314,,
Scotland,SW04d,2015-16,0.7881,,
Scotland,SW04d,2017-18,0.7559,,
Scotland,SW04d,2019-20,0.754273,,
Scotland,SW04d,2021-22,0.7059,,
Scotland,SW04e,2013-14,0.4295,,
Scotland,SW04e,2015-16,0.4003,,
Scotland,SW04e,2017-18,0.3655,,
Scotland,SW04e,2019-20,0.342778,,
Scotland,SW04e,2021-22,0.2969,,
Scotland,SW05,2010-11,427.9221,690923,31050
Scotland,SW05,2011-12,439.8456,703313,30750
Scotland,SW05,2012-13,430.3631,676961,30250
Scotland,SW05,2013-14,426.479,683714,30830
Scotland,SW05,2014-15,440.4885,699760,30550
Scotland,SW05,2015-16,450.1248,721622,30830
Scotland,SW05,2016-17,469.6702,749293,30680
Scotland,SW05,2017-18,482.7394,764620.6285,30460
Scotland,SW05,2018-19,521.3833,802784.1762,29610
Scotland,SW05,2019-20,539.1006,844500.9438,30125
Scotland,SW05,2020-21,637.5842,940507.0058,28367.5
Scotland,SW05,2021-22,653.0677,949083.6043,27947.5
Scotland,SW06,2010-11,89.68125553,90012,1003688
Scotland,SW06,2011-12,92.53504916,94788,1024347
Scotland,SW06,2012-13,93.46901193,96841,1036076
Scotland,SW06,2013-14,95.27815015,100358,1053316
Scotland,SW06,2014-15,97.15186679,103949,1069964
Scotland,SW06,2015-16,98.08211267,105984,1080564
Scotland,SW06,2016-17,100.960923,108040,1070117
Scotland,SW06,2017-18,102.8431528,107663,1046866
Scotland,SW06,2018-19,103.4162212,109915,1062841
Scotland,SW06,2019-20,104.8890549,112873,1076118
Scotland,SW06,2020-21,120.1999867,91887,764451
Scotland,SW06,2021-22,106.7436453,98102,919043
Scotland,SW06,2022-23,101.6757819,94572,930133
Scotland,SW07,2011-12,0.808661194,,
Scotland,SW07,2012-13,0.802121128,,
Scotland,SW07,2013-14,0.802,,
Scotland,SW07,2014-15,0.812234043,,
Scotland,SW07,2015-16,0.829378531,,
Scotland,SW07,2016-17,0.838,,
Scotland,SW07,2017-18,0.853846154,,
Scotland,SW07,2018-19,0.82173663,,
Scotland,SW07,2019-20,0.817997097,,
Scotland,SW07,2020-21,0.825,,
Scotland,SW07,2021-22,0.757977122,,
Scotland,SW07,2022-23,0.75,,
Scotland,C&L01,2010-11,3.55,161442,45459818
Scotland,C&L01,2011-12,3.23,155520,48202343
Scotland,C&L01,2012-13,3.14,162008,51624697
Scotland,C&L01,2013-14,3.19,170069,53320837
Scotland,C&L01,2014-15,2.96,156176,52705262
Scotland,C&L01,2015-16,2.92,154934,53084305
Scotland,C&L01,2016-17,2.9,156805,54042338
Scotland,C&L01,2017-18,2.72,146756,53992733
Scotland,C&L01,2018-19,2.61,142450,54526069
Scotland,C&L01,2019-20,2.74,142479.552,52045545
Scotland,C&L01,2020-21,40.3,183834,4561548
Scotland,C&L01,2021-22,6.44,170677,26512151
Scotland,C&L02,2010-11,3.41,108363,31800305
Scotland,C&L02,2011-12,3.26,104498,32074635
Scotland,C&L02,2012-13,3.15,104157,33066250
Scotland,C&L02,2013-14,2.57,103957,40415254
Scotland,C&L02,2014-15,2.45,100317,40898758
Scotland,C&L02,2015-16,2.45,100980,41281169
Scotland,C&L02,2016-17,1.98,92761,46773860
Scotland,C&L02,2017-18,2.07,89568,43252956
Scotland,C&L02,2018-19,2.05,90328,44030770
Scotland,C&L02,2019-20,1.99,89908.2567,45152917
Scotland,C&L02,2020-21,2.88,86023,29888610
Scotland,C&L02,2021-22,2.91,89241,30702692
Scotland,C&L03,2010-11,4.2,38949,9270129
Scotland,C&L03,2011-12,3.47,40650,11707609
Scotland,C&L03,2012-13,3.58,39790,11102498
Scotland,C&L03,2013-14,3.34,39021,11670085
Scotland,C&L03,2014-15,3.33,39695,11917948
Scotland,C&L03,2015-16,3.04,38558,12663109
Scotland,C&L03,2016-17,3.31,41323,12466473
Scotland,C&L03,2017-18,3.5,41291,11809426
Scotland,C&L03,2018-19,3.47,41922,12070238
Scotland,C&L03,2019-20,3.27,41025.4182,12546007
Scotland,C&L04,2010-11,25930.18,135410,5222100
Scotland,C&L04,2011-12,24280.66,127590,5254800
Scotland,C&L04,2012-13,23662.3,125732,5313600
Scotland,C&L04,2013-14,23296.36,124116,5327700
Scotland,C&L04,2014-15,23405.64,125164,5347600
Scotland,C&L04,2015-16,21794.16,117100,5373000
Scotland,C&L04,2016-17,20833.53,112599,5404700
Scotland,C&L04,2017-18,19811.79,107475,5424800
Scotland,C&L04,2018-19,20139.11,109518.5,5438100
Scotland,C&L04,2019-20,20112.3,109879.5175,5463300
Scotland,C&L04,2020-21,19111.78,104465,5466000
Scotland,C&L04,2021-22,20336.68,111443,5479900
Scotland,C&L05a,2010-14,0.825,,
Scotland,C&L05a,2012-15,0.803,,
Scotland,C&L05a,2013-16,0.773,,
Scotland,C&L05a,2014-17,0.747,,
Scotland,C&L05a,2015-18,0.73,,
Scotland,C&L05a,2016-19,0.724,,
Scotland,C&L05a,2017-20,0.724,,
Scotland,C&L05a,2018-21,0.744,,
Scotland,C&L05b,2010-14,0.85,,
Scotland,C&L05b,2012-15,0.86,,
Scotland,C&L05b,2013-16,0.857,,
Scotland,C&L05b,2014-17,0.86,,
Scotland,C&L05b,2015-18,0.857,,
Scotland,C&L05b,2016-19,0.848,,
Scotland,C&L05b,2017-20,0.85,,
Scotland,C&L05b,2018-21,0.855,,
Scotland,C&L05c,2010-14,0.765,,
Scotland,C&L05c,2012-15,0.763,,
Scotland,C&L05c,2013-16,0.74,,
Scotland,C&L05c,2014-17,0.72,,
Scotland,C&L05c,2015-18,0.7,,
Scotland,C&L05c,2016-19,0.693,,
Scotland,C&L05c,2017-20,0.693,,
Scotland,C&L05c,2018-21,0.713,,
Scotland,C&L05d,2010-14,0.775,,
Scotland,C&L05d,2012-15,0.78,,
Scotland,C&L05d,2013-16,0.757,,
Scotland,C&L05d,2014-17,0.74,,
Scotland,C&L05d,2015-18,0.727,,
Scotland,C&L05d,2016-19,0.714,,
Scotland,C&L05d,2017-20,0.701,,
Scotland,C&L05d,2018-21,0.718,,
Scotland,CHN01,2010-11,4834.5,1763933.499,364864
Scotland,CHN01,2011-12,4771.39,1746184.828,365970
Scotland,CHN01,2012-13,4734.37,1752747.89,370218
Scotland,CHN01,2013-14,4716.26,1777657.006,376921
Scotland,CHN01,2014-15,4643.56,1786616,384751
Scotland,CHN01,2015-16,4710.21,1840217.479,390687
Scotland,CHN01,2016-17,4805.69,1904193.259,396237
Scotland,CHN01,2017-18,4988.83,1994783.253,399850
Scotland,CHN01,2018-19,5236.56,2093655,399815
Scotland,CHN01,2019-20,5615.8,2236964.641,398334
Scotland,CHN01,2020-21,5915.89,2330607,393957
Scotland,CHN01,2021-22,6336.52,2473228,390313
Scotland,CHN02,2010-11,6384.16,1918011.499,300433
Scotland,CHN02,2011-12,6290.02,1865085.828,296515
Scotland,CHN02,2012-13,6400.93,1875292.89,292972
Scotland,CHN02,2013-14,6509.54,1878510.006,288578
Scotland,CHN02,2014-15,6564.98,1865558.039,284168
Scotland,CHN02,2015-16,6694.69,1883583.479,281355
Scotland,CHN02,2016-17,6814.4,1910811.259,280408
Scotland,CHN02,2017-18,6888.43,1938437.253,281405
Scotland,CHN02,2018-19,7171.62,2047963,285565
Scotland,CHN02,2019-20,7546.29,2199525.818,291471
Scotland,CHN02,2020-21,7656.72,2304322,300954
Scotland,CHN02,2021-22,7902.74,2424647,306811
Scotland,CHN03,2010-11,3343.6,307778,92050
Scotland,CHN03,2011-12,3082.54,292441,94870
Scotland,CHN03,2012-13,3097.18,303477,97985
Scotland,CHN03,2013-14,3001.24,308741,102871
Scotland,CHN03,2014-15,3303.4,335173,101463
Scotland,CHN03,2015-16,3841.13,373596,97262
Scotland,CHN03,2016-17,4200.19,407255,96961
Scotland,CHN03,2017-18,4430.23,424828,95893
Scotland,CHN03,2018-19,5018.35,484517,96549
Scotland,CHN03,2019-20,6749.37,650470.1636,96375
Scotland,CHN03,2020-21,9273.35,835770,90126
Scotland,CHN03,2021-22,10307.84,944229,91603
Scotland,CHN04,2011-12,0.51,,
Scotland,CHN04,2012-13,0.53,,
Scotland,CHN04,2013-14,0.55,,
Scotland,CHN04,2014-15,0.57,,
Scotland,CHN04,2015-16,0.59,,
Scotland,CHN04,2016-17,0.6,,
Scotland,CHN04,2017-18,0.62,,
Scotland,CHN04,2018-19,0.63,,
Scotland,CHN04,2019-20,0.64,,
Scotland,CHN04,2020-21,0.67,,
Scotland,CHN04,2021-22,0.69,,
Scotland,CHN05,2011-12,0.26,,
Scotland,CHN05,2012-13,0.27,,
Scotland,CHN05,2013-14,0.29,,
Scotland,CHN05,2014-15,0.31,,
Scotland,CHN05,2015-16,0.33,,
Scotland,CHN05,2016-17,0.34,,
Scotland,CHN05,2017-18,0.34,,
Scotland,CHN05,2018-19,0.35,,
Scotland,CHN05,2019-20,0.38,,
Scotland,CHN05,2020-21,0.41,,
Scotland,CHN05,2021-22,0.4,,
Scotland,CHN06,2014-15,0.37,,
Scotland,CHN06,2015-16,0.4,,
Scotland,CHN06,2016-17,0.41,,
Scotland,CHN06,2020-21,0.49,,
Scotland,CHN06,2021-22,0.52,,
Scotland,CHN07,2016-17,0.16,,
Scotland,CHN07,2020-21,0.23,,
Scotland,CHN07,2021-22,0.23,,
Scotland,CHN08a,2010-11,2810.496,213519,1461
Scotland,CHN08a,2011-12,3014.2252,224608,1433
Scotland,CHN08a,2012-13,2930.1475,223371,1466
Scotland,CHN08a,2013-14,3104.6485,236835,1467
Scotland,CHN08a,2014-15,3170.9638,252117,1529
Scotland,CHN08a,2015-16,3405.8513,261583,1477
Scotland,CHN08a,2016-17,3386.6927,265747,1509
Scotland,CHN08a,2017-18,3501.2592,275283,1512
Scotland,CHN08a,2018-19,3830.7481,288440,1448
Scotland,CHN08a,2019-20,3910.261,287107,1412
Scotland,CHN08a,2020-21,4379.875,292891,1286
Scotland,CHN08a,2021-22,4702.1029,313950,1284
Scotland,CHN08b,2010-11,204.7654,157268,14770
Scotland,CHN08b,2011-12,221.2179,170422,14815
Scotland,CHN08b,2012-13,249.8415,189238,14566
Scotland,CHN08b,2013-14,264.3037,194241,14133
Scotland,CHN08b,2014-15,278.3838,200796,13871
Scotland,CHN08b,2015-16,291.5698,209837,13840
Scotland,CHN08b,2016-17,316.2404,220159,13388
Scotland,CHN08b,2017-18,332.3833,225417,13042
Scotland,CHN08b,2018-19,343.1042,228620,12814
Scotland,CHN08b,2019-20,352.7033,235658,12849
Scotland,CHN08b,2020-21,382.1829,237866,11969
Scotland,CHN08b,2021-22,402.5337,236780,11312
Scotland,CHN09,2010-11,0.91,,
Scotland,CHN09,2011-12,0.9118,,
Scotland,CHN09,2012-13,0.9086,,
Scotland,CHN09,2013-14,0.906,,
Scotland,CHN09,2014-15,0.9007,,
Scotland,CHN09,2015-16,0.9036,,
Scotland,CHN09,2016-17,0.8987,,
Scotland,CHN09,2017-18,0.8961,,
Scotland,CHN09,2018-19,0.8985,,
Scotland,CHN09,2019-20,0.901,,
Scotland,CHN09,2020-21,0.903,,
Scotland,CHN09,2021-22,0.8981,,
Scotland,CHN10,2010-14,0.824,,
Scotland,CHN10,2012-15,0.81,,
Scotland,CHN10,2013-16,0.78,,
Scotland,CHN10,2014-17,0.753,,
Scotland,CHN10,2015-18,0.723,,
Scotland,CHN10,2016-19,0.718,,
Scotland,CHN10,2017-20,0.718,,
Scotland,CHN10,2018-21,0.745,,
Scotland,CHN11,2011-12,0.902844507,,
Scotland,CHN11,2012-13,0.919220865,,
Scotland,CHN11,2013-14,0.925567917,,
Scotland,CHN11,2014-15,0.931588272,,
Scotland,CHN11,2015-16,0.935149603,,
Scotland,CHN11,2016-17,0.938693957,,
Scotland,CHN11,2017-18,0.945565651,,
Scotland,CHN11,2018-19,0.950462219,,
Scotland,CHN11,2019-20,0.9334,,
Scotland,CHN11,2020-21,0.954774761,,
Scotland,CHN11,2021-22,0.957311223,,
Scotland,CHN12a,2011-12,769.68,,
Scotland,CHN12a,2012-13,797.61,,
Scotland,CHN12a,2013-14,826.62,,
Scotland,CHN12a,2014-15,860.04,,
Scotland,CHN12a,2015-16,877.23,,
Scotland,CHN12a,2016-17,888.15,,
Scotland,CHN12a,2017-18,893.97,,
Scotland,CHN12a,2018-19,895.01,,
Scotland,CHN12a,2019-20,929.98,,
Scotland,CHN12a,2020-21,972.41,,
Scotland,CHN12a,2021-22,980.72,,
Scotland,CHN12b,2011-12,478,,
Scotland,CHN12b,2012-13,510,,
Scotland,CHN12b,2013-14,551,,
Scotland,CHN12b,2014-15,581,,
Scotland,CHN12b,2015-16,603,,
Scotland,CHN12b,2016-17,625,,
Scotland,CHN12b,2017-18,620,,
Scotland,CHN12b,2018-19,628,,
Scotland,CHN12b,2019-20,649,,
Scotland,CHN12b,2020-21,688,,
Scotland,CHN12b,2021-22,702,,
Scotland,CHN12c,2011-12,618,,
Scotland,CHN12c,2012-13,644,,
Scotland,CHN12c,2013-14,685,,
Scotland,CHN12c,2014-15,716,,
Scotland,CHN12c,2015-16,741,,
Scotland,CHN12c,2016-17,751,,
Scotland,CHN12c,2017-18,752,,
Scotland,CHN12c,2018-19,743,,
Scotland,CHN12c,2019-20,759,,
Scotland,CHN12c,2020-21,817,,
Scotland,CHN12c,2021-22,827,,
Scotland,CHN12d,2011-12,759,,
Scotland,CHN12d,2012-13,788,,
Scotland,CHN12d,2013-14,816,,
Scotland,CHN12d,2014-15,851,,
Scotland,CHN12d,2015-16,864,,
Scotland,CHN12d,2016-17,882,,
Scotland,CHN12d,2017-18,899,,
Scotland,CHN12d,2018-19,875,,
Scotland,CHN12d,2019-20,906,,
Scotland,CHN12d,2020-21,975,,
Scotland,CHN12d,2021-22,965,,
Scotland,CHN12e,2011-12,909,,
Scotland,CHN12e,2012-13,929,,
Scotland,CHN12e,2013-14,962,,
Scotland,CHN12e,2014-15,984,,
Scotland,CHN12e,2015-16,998,,
Scotland,CHN12e,2016-17,1002,,
Scotland,CHN12e,2017-18,1019,,
Scotland,CHN12e,2018-19,1015,,
Scotland,CHN12e,2019-20,1030,,
Scotland,CHN12e,2020-21,1108,,
Scotland,CHN12e,2021-22,1113,,
Scotland,CHN12f,2011-12,1101,,
Scotland,CHN12f,2012-13,1134,,
Scotland,CHN12f,2013-14,1149,,
Scotland,CHN12f,2014-15,1185,,
Scotland,CHN12f,2015-16,1197,,
Scotland,CHN12f,2016-17,1210,,
Scotland,CHN12f,2017-18,1224,,
Scotland,CHN12f,2018-19,1195,,
Scotland,CHN12f,2019-20,1241,,
Scotland,CHN12f,2020-21,1320,,
Scotland,CHN12f,2021-22,1316,,
Scotland,CHN13a,2018-19,0.723,,
Scotland,CHN13a,2020-21,0.668774993,,
Scotland,CHN13a,2021-22,0.7053869,,
Scotland,CHN13b,2018-19,0.7907,,
Scotland,CHN13b,2020-21,0.746906388,,
Scotland,CHN13b,2021-22,0.779493165,,
Scotland,CHN14a,2018-19,20.66,,
Scotland,CHN14a,2020-21,24.6972787,,
Scotland,CHN14a,2021-22,21.34438677,,
Scotland,CHN14b,2018-19,16.81,,
Scotland,CHN14b,2020-21,21.4204594,,
Scotland,CHN14b,2021-22,17.761179,,
Scotland,CHN17,2013-14,0.808,,
Scotland,CHN17,2014-15,0.8079,,
Scotland,CHN17,2015-16,0.8158,,
Scotland,CHN17,2016-17,0.8237,,
Scotland,CHN17,2017-18,0.8461,,
Scotland,CHN17,2018-19,0.8548,,
Scotland,CHN17,2019-20,0.857,,
Scotland,CHN17,2020-21,0.8506,,
Scotland,CHN17,2021-22,0.8214,,
Scotland,CHN18,2010-11,0.871317158,,
Scotland,CHN18,2011-12,0.905676127,,
Scotland,CHN18,2012-13,0.913254966,,
Scotland,CHN18,2013-14,0.925896728,,
Scotland,CHN18,2014-15,0.93477391,,
Scotland,CHN18,2015-16,0.919051513,,
Scotland,CHN18,2016-17,0.916700528,,
Scotland,CHN18,2017-18,0.910326087,,
Scotland,CHN18,2018-19,0.90584543,,
Scotland,CHN18,2019-20,0.902,,
Scotland,CHN18,2020-21,0.909274194,,
Scotland,CHN18,2021-22,0.894039735,,
Scotland,CHN19a,2010-11,0.931,,
Scotland,CHN19a,2012-13,0.936,,
Scotland,CHN19a,2014-15,0.937,,
Scotland,CHN19a,2016-17,0.933,,
Scotland,CHN19a,2018-19,0.929549,,
Scotland,CHN19a,2020-21,0.92,,
Scotland,CHN19b,2010-11,0.8632,,
Scotland,CHN19b,2012-13,0.8865,,
Scotland,CHN19b,2014-15,0.89,,
Scotland,CHN19b,2016-17,0.8822,,
Scotland,CHN19b,2018-19,0.8678,,
Scotland,CHN19b,2020-21,0.8789,,
Scotland,CHN20a,2010-11,40,,
Scotland,CHN20a,2012-13,32.8,,
Scotland,CHN20a,2014-15,27.2,,
Scotland,CHN20a,2016-17,26.84,,
Scotland,CHN20a,2018-19,21.65,,
Scotland,CHN20a,2020-21,11.87,,
Scotland,CHN20b,2010-11,340.78,,
Scotland,CHN20b,2012-13,280.3,,
Scotland,CHN20b,2014-15,246.85,,
Scotland,CHN20b,2016-17,210.15,,
Scotland,CHN20b,2018-19,152.16,,
Scotland,CHN20b,2020-21,77.81,,
Scotland,CHN21,2015-16,0.904,,
Scotland,CHN21,2016-17,0.911,,
Scotland,CHN21,2017-18,0.918,,
Scotland,CHN21,2018-19,0.9156484,,
Scotland,CHN21,2019-20,0.92132284,,
Scotland,CHN21,2020-21,0.921794063,,
Scotland,CHN21,2021-22,0.923522745,,
Scotland,CHN21,2022-23,0.942722957,,
Scotland,CHN22,2012-13,0.0647,,
Scotland,CHN22,2013-14,0.0677,,
Scotland,CHN22,2014-15,0.0675,,
Scotland,CHN22,2015-16,0.0617,,
Scotland,CHN22,2016-17,0.0648,,
Scotland,CHN22,2017-18,0.0596,,
Scotland,CHN22,2018-19,0.0722,,
Scotland,CHN22,2019-20,0.0686,,
Scotland,CHN22,2020-21,0.0701,,
Scotland,CHN22,2021-22,0.0801,,
Scotland,CHN23,2010-11,0.2112,,
Scotland,CHN23,2011-12,0.2136,,
Scotland,CHN23,2012-13,0.212,,
Scotland,CHN23,2013-14,0.2194,,
Scotland,CHN23,2014-15,0.2135,,
Scotland,CHN23,2015-16,0.2068,,
Scotland,CHN23,2016-17,0.2119,,
Scotland,CHN23,2017-18,0.2013,,
Scotland,CHN23,2018-19,0.1951,,
Scotland,CHN23,2019-20,0.1668,,
Scotland,CHN23,2020-21,0.1679,,
Scotland,CHN23,2021-22,0.1586,,
Scotland,CHN24,2014-15,0.20192262,,
Scotland,CHN24,2015-16,0.213532942,,
Scotland,CHN24,2016-17,0.216739635,,
Scotland,CHN24,2017-18,0.218479198,,
Scotland,CHN24,2018-19,0.212424348,,
Scotland,CHN24,2019-20,0.228545961,,
Scotland,CHN24,2020-21,0.208594664,,
Scotland,CHN24,2021-22,0.226156075,,
Scotland,CLIM01,2010-11,7.890068154,,
Scotland,CLIM01,2011-12,7.124855686,,
Scotland,CLIM01,2012-13,7.33394387,,
Scotland,CLIM01,2013-14,7.077064583,,
Scotland,CLIM01,2014-15,6.253661207,,
Scotland,CLIM01,2015-16,6.242297822,,
Scotland,CLIM01,2016-17,5.766450876,,
Scotland,CLIM01,2017-18,5.627267184,,
Scotland,CLIM01,2018-19,5.540790984,,
Scotland,CLIM01,2019-20,5.388738394,,
Scotland,CLIM01,2020-21,4.627485426,,
Scotland,CLIM01,2021-22,5.095985759,,
Scotland,CLIM02,2010-11,7.257253782,,
Scotland,CLIM02,2011-12,6.505772455,,
Scotland,CLIM02,2012-13,6.740849324,,
Scotland,CLIM02,2013-14,6.464162667,,
Scotland,CLIM02,2014-15,5.74124595,,
Scotland,CLIM02,2015-16,5.612321371,,
Scotland,CLIM02,2016-17,5.214386695,,
Scotland,CLIM02,2017-18,5.05718507,,
Scotland,CLIM02,2018-19,4.861891711,,
Scotland,CLIM02,2019-20,4.668565325,,
Scotland,CLIM02,2020-21,4.12328077,,
Scotland,CLIM02,2021-22,4.572608581,,
Scotland,CORP01,2010-11,0.0543,783855.184,14427011
Scotland,CORP01,2011-12,0.057,806185,14136537
Scotland,CORP01,2012-13,0.0559,796541,14240941
Scotland,CORP01,2013-14,0.0522,757513,14514478
Scotland,CORP01,2014-15,0.0523,769090,14708933
Scotland,CORP01,2015-16,0.0533,790597,14841363
Scotland,CORP01,2016-17,0.0498,748223,15009642
Scotland,CORP01,2017-18,0.0445,677795,15241550
Scotland,CORP01,2018-19,0.0428,670020,15666226.5
Scotland,CORP01,2019-20,0.04,666766.5713,16680681.26
Scotland,CORP01,2020-21,0.0404,687640,17043419
Scotland,CORP01,2021-22,0.0406,727292,17935167
Scotland,CORP03b,2010-11,0.4626,4994,10795
Scotland,CORP03b,2011-12,0.485,5196,10713
Scotland,CORP03b,2012-13,0.4871,4785,9822
Scotland,CORP03b,2013-14,0.507,5080,10019
Scotland,CORP03b,2014-15,0.5166,5451,10551
Scotland,CORP03b,2015-16,0.5189,5128,9882
Scotland,CORP03b,2016-17,0.529,5119,9677
Scotland,CORP03b,2017-18,0.5463,5485,10040
Scotland,CORP03b,2018-19,0.5553,5755,10363
Scotland,CORP03b,2019-20,0.5674,5920,10433
Scotland,CORP03b,2020-21,0.5806,6366,10964
Scotland,CORP03b,2021-22,0.5898,6651,11277
Scotland,CORP03b,2022-23,0.5886,6257,10631
Scotland,CORP03c,2015-16,0.045,14.73,14.07
Scotland,CORP03c,2016-17,0.0421,14.99,14.36
Scotland,CORP03c,2017-18,0.0393,15.22,14.62
Scotland,CORP03c,2018-19,0.0418,15.69,15.04
Scotland,CORP03c,2019-20,0.034,16.37,15.82
Scotland,CORP03c,2020-21,0.0366,16.8989,16.2855
Scotland,CORP03c,2021-22,0.0354,17.2689,16.6633
Scotland,CORP03c,2022-23,0.0257,17.9087,17.4553
Scotland,CORP04,2010-11,13.81,34483691,2496429
Scotland,CORP04,2011-12,13.19,33095308,2509142
Scotland,CORP04,2012-13,13.29,33514927,2521219
Scotland,CORP04,2013-14,12.13,30733489,2534499
Scotland,CORP04,2014-15,10.95,27933089,2550555
Scotland,CORP04,2015-16,10.34,26555737,2567508
Scotland,CORP04,2016-17,8.97,23199295,2587271
Scotland,CORP04,2017-18,7.35,19169512,2606553
Scotland,CORP04,2018-19,6.92,18178208,2626234
Scotland,CORP04,2019-20,6.6,17492477,2649232
Scotland,CORP04,2020-21,6.643,17703207.64,2664933
Scotland,CORP04,2021-22,6.6,17743208.1,2688365
Scotland,CORP04,2022-23,6.8422,18167673.48,2655240
Scotland,CORP06a,2010-11,6.6,349345,52900
Scotland,CORP06a,2011-12,6.21,312235,50289
Scotland,CORP06a,2012-13,6.64,317378,47768
Scotland,CORP06a,2013-14,6.1,308559,50595
Scotland,CORP06a,2014-15,6.28,317074,50485
Scotland,CORP06a,2015-16,6.09,306807,50340
Scotland,CORP06a,2016-17,6.06,310780,51269
Scotland,CORP06a,2017-18,5.93,313918,52906
Scotland,CORP06a,2018-19,6.21,328747,52956
Scotland,CORP06a,2019-20,6.35,346464,54562
Scotland,CORP06a,2020-21,4.1101,224632,54653
Scotland,CORP06a,2021-22,5.8287,327087,56116
Scotland,CORP06a,2022-23,6.8577,363533,53011
Scotland,CORP06b,2010-11,10.79,1731251,160403
Scotland,CORP06b,2011-12,10.38,1542024,148549
Scotland,CORP06b,2012-13,10.9,1483040,136067
Scotland,CORP06b,2013-14,10.34,1509872,146092
Scotland,CORP06b,2014-15,10.8,1570110,145398
Scotland,CORP06b,2015-16,10.63,1529113,143794
Scotland,CORP06b,2016-17,10.92,1564271,143295
Scotland,CORP06b,2017-18,11.41,1641333,143890
Scotland,CORP06b,2018-19,11.49,1714874,149272
Scotland,CORP06b,2019-20,11.9,1826070,153472
Scotland,CORP06b,2020-21,9.5833,1459147,152259
Scotland,CORP06b,2021-22,12.1893,1918949,157429
Scotland,CORP06b,2022-23,13.1313,2009099,153000
Scotland,CORP07,2010-11,0.9474,1863816875,1967344533
Scotland,CORP07,2011-12,0.9508,1884670229,1982122013
Scotland,CORP07,2012-13,0.9516,1906078197,2002938151
Scotland,CORP07,2013-14,0.9523,1937036691,2034032741
Scotland,CORP07,2014-15,0.9546,1978556558,2072666239
Scotland,CORP07,2015-16,0.9566,2016326702,2107849905
Scotland,CORP07,2016-17,0.9583,2050790951,2140088939
Scotland,CORP07,2017-18,0.96,2273457197,2368170340
Scotland,CORP07,2018-19,0.9601,2331640577,2428451613
Scotland,CORP07,2019-20,0.9576,2445680934,2553893324
Scotland,CORP07,2020-21,0.9477,2530099489,2669709385
Scotland,CORP07,2021-22,0.9573,2600910712,2716793469
Scotland,CORP07,2022-23,0.9619,2724082770,2831919562
Scotland,CORP08,2010-11,0.8954,4339672,4846881
Scotland,CORP08,2011-12,0.9019,4134110,4583818
Scotland,CORP08,2012-13,0.9047,4017146,4440209
Scotland,CORP08,2013-14,0.9193,4181368,4548263
Scotland,CORP08,2014-15,0.9252,4195649,4534655
Scotland,CORP08,2015-16,0.9277,4112861,4433466
Scotland,CORP08,2016-17,0.9306,4273991,4592738
Scotland,CORP08,2017-18,0.9319,4177397,4482608
Scotland,CORP08,2018-19,0.9268,4337611,4680100
Scotland,CORP08,2019-20,0.9172,4189273,4567662
Scotland,CORP08,2020-21,0.9176,3340232,3640220
Scotland,CORP08,2021-22,0.922,3915257,4246612
Scotland,CORP08,2022-23,0.9053,3801595,4199139
Scotland,CORP09,2018-19,0.95,43220,45335
Scotland,CORP09,2018-19,0.96,43850,45545
Scotland,CORP09,2018-19,0.96,55370,57450
Scotland,CORP09,2018-19,0.95,42485,44675
Scotland,CORP09,2019-20,0.95,48665,51170
Scotland,CORP09,2019-20,0.96,49270,51405
Scotland,CORP09,2019-20,0.94,60110,63875
Scotland,CORP09,2019-20,0.96,49190,51455
Scotland,CORP09,2020-21,0.95,55980,58720
Scotland,CORP09,2020-21,0.92,71020,77345
Scotland,CORP09,2020-21,0.95,60755,63875
Scotland,CORP09,2020-21,0.93,67485,72935
Scotland,CORP09,2021-22,0.9,70960,79140
Scotland,CORP09,2021-22,0.94,53760,57375
Scotland,CORP09,2021-22,0.95,57975,61285
Scotland,CORP09,2021-22,0.94,61755,65860
Scotland,CORP09,2022-23,0.93,62365,67390
Scotland,CORP09,2022-23,0.88,65525,74460
Scotland,CORP09,2022-23,0.91,70455,77310
Scotland,CORP09,2022-23,0.95,60550,64000
Scotland,CORP10,2018-19,0.86,15445,17895
Scotland,CORP10,2018-19,0.93,17125,18495
Scotland,CORP10,2018-19,0.9,14600,16180
Scotland,CORP10,2018-19,0.89,14490,16330
