Code,LocalAuthority,Year,Indicator,Numerator,Denominator
CHN12a,Aberdeen City,2011-12,775.48,,
CHN12a,Aberdeen City,2012-13,764.3,,
CHN12a,Aberdeen City,2013-14,782.89,,
CHN12a,Aberdeen City,2014-15,808.36,,
CHN12a,Aberdeen City,2015-16,806.82,,
CHN12a,Aberdeen City,2016-17,821.06,,
CHN12a,Aberdeen City,2017-18,841.21,,
CHN12a,Aberdeen City,2018-19,827.5,,
CHN12a,Aberdeen City,2019-20,845.53,,
CHN12a,Aberdeen City,2020-21,853.41,,
CHN12a,Aberdeen City,2021-22,952.61,,
CHN12a,Aberdeen City,2022-23,881.88,,
CHN12a,Aberdeen City,2023-24,893.35,,
CHN12a,Aberdeenshire,2011-12,820.84,,
CHN12a,Aberdeenshire,2012-13,814.83,,
CHN12a,Aberdeenshire,2013-14,832.12,,
CHN12a,Aberdeenshire,2014-15,843.95,,
CHN12a,Aberdeenshire,2015-16,874.02,,
CHN12a,Aberdeenshire,2016-17,865.11,,
CHN12a,Aberdeenshire,2017-18,916.46,,
CHN12a,Aberdeenshire,2018-19,875.14,,
CHN12a,Aberdeenshire,2019-20,889.85,,
CHN12a,Aberdeenshire,2020-21,951.45,,
CHN12a,Aberdeenshire,2021-22,958.72,,
CHN12a,Aberdeenshire,2022-23,929.11,,
CHN12a,Aberdeenshire,2023-24,939.62,,
CHN12a,Angus,2011-12,741.6,,
CHN12a,Angus,2012-13,769.55,,
CHN12a,Angus,2013-14,790.05,,
CHN12a,Angus,2014-15,836.67,,
CHN12a,Angus,2015-16,819.7,,
CHN12a,Angus,2016-17,826.43,,
CHN12a,Angus,2017-18,811.43,,
CHN12a,Angus,2018-19,802.75,,
CHN12a,Angus,2019-20,791.82,,
CHN12a,Angus,2020-21,874.76,,
CHN12a,Angus,2021-22,832.25,,
CHN12a,Angus,2022-23,778.83,,
CHN12a,Angus,2023-24,765.75,,
CHN12a,Argyll & Bute,2011-12,841.86,,
CHN12a,Argyll & Bute,2012-13,793.58,,
CHN12a,Argyll & Bute,2013-14,879.93,,
CHN12a,Argyll & Bute,2014-15,859.51,,
CHN12a,Argyll & Bute,2015-16,861.52,,
CHN12a,Argyll & Bute,2016-17,891.25,,
CHN12a,Argyll & Bute,2017-18,894.56,,
CHN12a,Argyll & Bute,2018-19,861.35,,
CHN12a,Argyll & Bute,2019-20,882.47,,
CHN12a,Argyll & Bute,2020-21,945.18,,
CHN12a,Argyll & Bute,2021-22,961,,
CHN12a,Argyll & Bute,2022-23,907,,
CHN12a,Argyll & Bute,2023-24,888.74,,
CHN12a,Clackmannanshire,2011-12,653.09,,
CHN12a,Clackmannanshire,2012-13,698.98,,
CHN12a,Clackmannanshire,2013-14,688.09,,
CHN12a,Clackmannanshire,2014-15,698.71,,
CHN12a,Clackmannanshire,2015-16,765.06,,
CHN12a,Clackmannanshire,2016-17,743.99,,
CHN12a,Clackmannanshire,2017-18,749.35,,
CHN12a,Clackmannanshire,2018-19,774.38,,
CHN12a,Clackmannanshire,2019-20,743.77,,
CHN12a,Clackmannanshire,2020-21,824,,
CHN12a,Clackmannanshire,2021-22,859.86,,
CHN12a,Clackmannanshire,2022-23,793.77,,
CHN12a,Clackmannanshire,2023-24,762.82,,
CHN12a,Dumfries & Galloway,2011-12,765.3,,
CHN12a,Dumfries & Galloway,2012-13,818.9,,
CHN12a,Dumfries & Galloway,2013-14,823.14,,
CHN12a,Dumfries & Galloway,2014-15,870.4,,
CHN12a,Dumfries & Galloway,2015-16,855.15,,
CHN12a,Dumfries & Galloway,2016-17,883.09,,
CHN12a,Dumfries & Galloway,2017-18,838.09,,
CHN12a,Dumfries & Galloway,2018-19,874.62,,
CHN12a,Dumfries & Galloway,2019-20,878.93,,
CHN12a,Dumfries & Galloway,2020-21,942.23,,
CHN12a,Dumfries & Galloway,2021-22,908.03,,
CHN12a,Dumfries & Galloway,2022-23,871.67,,
CHN12a,Dumfries & Galloway,2023-24,829.54,,
CHN12a,Dundee City,2011-12,676.88,,
CHN12a,Dundee City,2012-13,723.37,,
CHN12a,Dundee City,2013-14,735.94,,
CHN12a,Dundee City,2014-15,764.19,,
CHN12a,Dundee City,2015-16,742.87,,
CHN12a,Dundee City,2016-17,768.85,,
CHN12a,Dundee City,2017-18,686.89,,
CHN12a,Dundee City,2018-19,751.7,,
CHN12a,Dundee City,2019-20,773.38,,
CHN12a,Dundee City,2020-21,760.7,,
CHN12a,Dundee City,2021-22,795.83,,
CHN12a,Dundee City,2022-23,801.58,,
CHN12a,Dundee City,2023-24,739.08,,
CHN12a,East Ayrshire,2011-12,692.73,,
CHN12a,East Ayrshire,2012-13,755.32,,
CHN12a,East Ayrshire,2013-14,772.95,,
CHN12a,East Ayrshire,2014-15,799.96,,
CHN12a,East Ayrshire,2015-16,821.14,,
CHN12a,East Ayrshire,2016-17,817.36,,
CHN12a,East Ayrshire,2017-18,815.99,,
CHN12a,East Ayrshire,2018-19,822.03,,
CHN12a,East Ayrshire,2019-20,810.55,,
CHN12a,East Ayrshire,2020-21,843.36,,
CHN12a,East Ayrshire,2021-22,915.73,,
CHN12a,East Ayrshire,2022-23,883.31,,
CHN12a,East Ayrshire,2023-24,893.52,,
CHN12a,East Dunbartonshire,2011-12,1090.78,,
CHN12a,East Dunbartonshire,2012-13,1154.93,,
CHN12a,East Dunbartonshire,2013-14,1134.98,,
CHN12a,East Dunbartonshire,2014-15,1192.83,,
CHN12a,East Dunbartonshire,2015-16,1268.4,,
CHN12a,East Dunbartonshire,2016-17,1304.52,,
CHN12a,East Dunbartonshire,2017-18,1312.4,,
CHN12a,East Dunbartonshire,2018-19,1245.78,,
CHN12a,East Dunbartonshire,2019-20,1336.61,,
CHN12a,East Dunbartonshire,2020-21,1378.24,,
CHN12a,East Dunbartonshire,2021-22,1359.1,,
